"kingdom","phylum","class","order","family","genus","species","strain"
"Archaea.Halobacterota.Methanomicrobia.Methanomicrobiales.Methanoregulaceae.Methanosphaerula","Archaea","Halobacterota","Methanomicrobia","Methanomicrobiales","Methanoregulaceae","Methanosphaerula",NA,NA
"Archaea.Crenarchaeota.Thermoprotei.Desulfurococcales.Ignisphaeraceae.Ignisphaera","Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Ignisphaeraceae","Ignisphaera",NA,NA
"Archaea.Crenarchaeota.Thermoprotei.Geoarchaeales.NA.NA","Archaea","Crenarchaeota","Thermoprotei","Geoarchaeales","NA","NA",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.Cyanobacteriales.Nostocaceae.Fischerella CENA298","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Fischerella CENA298",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Milano-WF1B-44.NA.NA","Bacteria","Proteobacteria","Gammaproteobacteria","Milano-WF1B-44","NA","NA",NA,NA
"Archaea.Euryarchaeota.Thermococci.Methanofastidiosales.NA.NA","Archaea","Euryarchaeota","Thermococci","Methanofastidiosales","NA","NA",NA,NA
"Bacteria.Patescibacteria.Kazania.NA.NA.NA","Bacteria","Patescibacteria","Kazania","NA","NA","NA",NA,NA
"Archaea.Nanoarchaeota.Nanoarchaeia.Woesearchaeales.CG1-02-57-44.NA","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","CG1-02-57-44","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.(unclassified).Thioprofundaceae.NA","Bacteria","Proteobacteria","Gammaproteobacteria","(unclassified)","Thioprofundaceae","NA",NA,NA
"Bacteria.Firmicutes.Desulfitobacteriia.Desulfitobacteriales.Syntrophobotulaceae.Dehalobacter","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Syntrophobotulaceae","Dehalobacter",NA,NA
"Bacteria.Caldisericota.Caldisericia.Caldisericales.TTA-B1.NA","Bacteria","Caldisericota","Caldisericia","Caldisericales","TTA-B1","NA",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Magnetospiraceae.Magnetospira","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Magnetospira",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.Caminicellaceae.Caminicella","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Caminicellaceae","Caminicella",NA,NA
"Bacteria.Campilobacterota.Campylobacteria.Nautiliales.Nautiliaceae.NA","Bacteria","Campilobacterota","Campylobacteria","Nautiliales","Nautiliaceae","NA",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Ruaniaceae.Ruania","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Ruaniaceae","Ruania",NA,NA
"Bacteria.Desulfobacterota.Thermodesulfobacteria.Thermodesulfobacteriales.Thermodesulfobacteriaceae.Thermosulfuriphilus","Bacteria","Desulfobacterota","Thermodesulfobacteria","Thermodesulfobacteriales","Thermodesulfobacteriaceae","Thermosulfuriphilus",NA,NA
"Bacteria.Firmicutes.Sulfobacillia.Sulfobacillales.Sulfobacillaceae.NA","Bacteria","Firmicutes","Sulfobacillia","Sulfobacillales","Sulfobacillaceae","NA",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Silicimonas","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Silicimonas",NA,NA
"Bacteria.Caldisericota.Caldisericia.Caldisericales.TTA-B15.NA","Bacteria","Caldisericota","Caldisericia","Caldisericales","TTA-B15","NA",NA,NA
"Archaea.Halobacterota.Methanomicrobia.Methanomicrobiales.Methanomicrobiaceae.NA","Archaea","Halobacterota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","NA",NA,NA
"Bacteria.Planctomycetota.Planctomycetes.Pirellulales.Pirellulaceae.Thermogutta","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Thermogutta",NA,NA
"Bacteria.Chloroflexi.Ktedonobacteria.NA.NA.NA","Bacteria","Chloroflexi","Ktedonobacteria","NA","NA","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Halothiobacillales.Halothiobacillaceae.Halothiobacillus","Bacteria","Proteobacteria","Gammaproteobacteria","Halothiobacillales","Halothiobacillaceae","Halothiobacillus",NA,NA
"Bacteria.Firmicutes.Clostridia.Hungateiclostridiaceae.Cellulosibacter.NA","Bacteria","Firmicutes","Clostridia","Hungateiclostridiaceae","Cellulosibacter","NA",NA,NA
"Bacteria.Aquificota.Aquificae.Hydrogenothermales.Hydrogenothermaceae.Venenivibrio","Bacteria","Aquificota","Aquificae","Hydrogenothermales","Hydrogenothermaceae","Venenivibrio",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Methylococcales.Methylomonadaceae.Methyloglobulus","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methyloglobulus",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.GZKB124.NA","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","GZKB124","NA",NA,NA
"Bacteria.Firmicutes.Limnochordia.B55-F-B-G02.NA.NA","Bacteria","Firmicutes","Limnochordia","B55-F-B-G02","NA","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Methylococcales.Methylomonadaceae.Methylosoma","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylosoma",NA,NA
"Archaea.Crenarchaeota.Nitrososphaeria.Caldiarchaeales.Caldiarchaeaceae.Candidatus Caldiarchaeum","Archaea","Crenarchaeota","Nitrososphaeria","Caldiarchaeales","Caldiarchaeaceae","Candidatus Caldiarchaeum",NA,NA
"Bacteria.Firmicutes.Clostridia.Peptostreptococcales-Tissierellales.(unclassified).livecontrolB21","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","(unclassified)","livecontrolB21",NA,NA
"Bacteria.Dictyoglomota.Dictyoglomia.Dictyoglomales.Dictyoglomaceae.Dictyoglomus","Bacteria","Dictyoglomota","Dictyoglomia","Dictyoglomales","Dictyoglomaceae","Dictyoglomus",NA,NA
"Archaea.Crenarchaeota.Thermoprotei.Sulfolobales.Sulfolobaceae.Sulfurisphaera","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfurisphaera",NA,NA
"Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Abyssivirga","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Abyssivirga",NA,NA
"Bacteria.Aquificota.Aquificae.Aquificales.Hydrogenobaculaceae.Hydrogenobaculum","Bacteria","Aquificota","Aquificae","Aquificales","Hydrogenobaculaceae","Hydrogenobaculum",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Oxalobacteraceae.s3t2d-1089","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","s3t2d-1089",NA,NA
"Archaea.Halobacterota.Archaeoglobi.Archaeoglobales.Archaeoglobaceae.NA","Archaea","Halobacterota","Archaeoglobi","Archaeoglobales","Archaeoglobaceae","NA",NA,NA
"Bacteria.Halanaerobiaeota.Halanaerobiia.Halanaerobiales.NA.NA","Bacteria","Halanaerobiaeota","Halanaerobiia","Halanaerobiales","NA","NA",NA,NA
"Archaea.Crenarchaeota.NA.NA.NA.NA","Archaea","Crenarchaeota","NA","NA","NA","NA",NA,NA
"Bacteria.Deferribacterota.Deferribacteres.Deferribacterales.Deferribacteraceae.Calditerrivibrio","Bacteria","Deferribacterota","Deferribacteres","Deferribacterales","Deferribacteraceae","Calditerrivibrio",NA,NA
"Bacteria.Verrucomicrobiota.Chlamydiae.LD1-PA32.NA.NA","Bacteria","Verrucomicrobiota","Chlamydiae","LD1-PA32","NA","NA",NA,NA
"Bacteria.Firmicutes.Bacilli.Desulfuribacillales.Desulfuribacillaceae.Desulfuribacillus","Bacteria","Firmicutes","Bacilli","Desulfuribacillales","Desulfuribacillaceae","Desulfuribacillus",NA,NA
"Bacteria.Cloacimonadota.Cloacimonadia.Cloacimonadales.Cloacimonadaceae.LNR A2-18","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","LNR A2-18",NA,NA
"Bacteria.Elusimicrobiota.Elusimicrobia.NA.NA.NA","Bacteria","Elusimicrobiota","Elusimicrobia","NA","NA","NA",NA,NA
"Bacteria.Myxococcota.Myxococcia.Myxococcales.Myxococcaceae.Stigmatella","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Stigmatella",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Pseudonocardiales.Pseudonocardiaceae.Actinokineospora","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinokineospora",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Microbacteriaceae.Allohumibacter","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Allohumibacter",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Alcaligenaceae.Taylorella","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Taylorella",NA,NA
"Bacteria.Bacteroidota.Ignavibacteria.Ignavibacteriales.BSV40.NA","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","BSV40","NA",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Catenulisporales.NA.NA","Bacteria","Actinobacteriota","Actinobacteria","Catenulisporales","NA","NA",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Streptosporangiales.Thermomonosporaceae.NA","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","NA",NA,NA
"Archaea.Halobacterota.Methanosarcinia.Methanosarciniales.Methanosarcinaceae.Methanimicrococcus","Archaea","Halobacterota","Methanosarcinia","Methanosarciniales","Methanosarcinaceae","Methanimicrococcus",NA,NA
"Bacteria.Nitrospinota.Nitrospinia.Nitrospinales.Nitrospinaceae.NA","Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","NA",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.Oxyphotobacteria Incertae Sedis.Unknown Family.Leptolyngbya RV74","Bacteria","Cyanobacteria","Cyanobacteriia","Oxyphotobacteria Incertae Sedis","Unknown Family","Leptolyngbya RV74",NA,NA
"Bacteria.Firmicutes.Bacilli.Entomoplasmatales.NA.NA","Bacteria","Firmicutes","Bacilli","Entomoplasmatales","NA","NA",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Cytophagales.Cyclobacteriaceae.Mariniradius","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Mariniradius",NA,NA
"Bacteria.Firmicutes.TTA-B61.NA.NA.NA","Bacteria","Firmicutes","TTA-B61","NA","NA","NA",NA,NA
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Aureibacillus","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Aureibacillus",NA,NA
"Bacteria.Planctomycetota.Phycisphaerae.Phycisphaerales.Phycisphaeraceae.Phycisphaera","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Methylococcales.Methylococcaceae.Methylomagnum","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylomagnum",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.Leptolyngbyales.Leptolyngbyaceae.TG-45","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","TG-45",NA,NA
"Bacteria.Campilobacterota.Campylobacteria.Campylobacterales.Thioreductoraceae.Thioreductor","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Thioreductoraceae","Thioreductor",NA,NA
"Bacteria.Campilobacterota.Campylobacteria.Nautiliales.Nautiliaceae.Caminibacter","Bacteria","Campilobacterota","Campylobacteria","Nautiliales","Nautiliaceae","Caminibacter",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Azorhizophilus","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Azorhizophilus",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.Cyanobacteriales.Nostocaceae.Calothrix PCC-7507","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Calothrix PCC-7507",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.Cyanobacteriales.Nostocaceae.Synechococcus PCC-7902","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Synechococcus PCC-7902",NA,NA
"Bacteria.Firmicutes.Desulfitobacteriia.Desulfitobacteriales.Heliobacteriaceae.Heliorestis","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Heliobacteriaceae","Heliorestis",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Flavobacteriaceae.Imtechella","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Imtechella",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Cricetibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Cricetibacter",NA,NA
"Bacteria.Firmicutes.Bacilli.Entomoplasmatales.Entomoplasmataceae.Mesoplasma","Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Entomoplasmataceae","Mesoplasma",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.Cyanobacteriales.Nostocaceae.Aetokthonos AEL04","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Aetokthonos AEL04",NA,NA
"Archaea.Halobacterota.Methanocellia.Methanocellales.Methanocellaceae.Methanocella","Archaea","Halobacterota","Methanocellia","Methanocellales","Methanocellaceae","Methanocella",NA,NA
"Bacteria.Desulfobacterota.Desulfarculia.Desulfarculales.NA.NA","Bacteria","Desulfobacterota","Desulfarculia","Desulfarculales","NA","NA",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Microbacteriaceae.Rudaibacter","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Rudaibacter",NA,NA
"Bacteria.Firmicutes.Bacilli.Thermoactinomycetales.Thermoactinomycetaceae.Pasteuria","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Pasteuria",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Flavobacteriaceae.Bizionia","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Bizionia",NA,NA
"Bacteria.Actinobacteriota.Acidimicrobiia.Acidimicrobiales.Acidimicrobiaceae.Acidithrix","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidithrix",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micromonosporales.Micromonosporaceae.Krasilnikovia","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Krasilnikovia",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Pseudonocardiales.Pseudonocardiaceae.Longimycelium","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Longimycelium",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Acidiferrobacterales.Acidiferrobacteraceae.Acidiferrobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Acidiferrobacter",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Pseudonocardiales.Pseudonocardiaceae.Goodfellowiella","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Goodfellowiella",NA,NA
"Bacteria.Desulfobacterota.Desulfarculia.Desulfarculales.Desulfarculaceae.Dethiosulfatarculus","Bacteria","Desulfobacterota","Desulfarculia","Desulfarculales","Desulfarculaceae","Dethiosulfatarculus",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.KIST-JJY010.NA.NA","Bacteria","Actinobacteriota","Actinobacteria","KIST-JJY010","NA","NA",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Pseudonocardiales.Pseudonocardiaceae.Actinosynnema","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinosynnema",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Candidatus Tremblaya","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Candidatus Tremblaya",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Oceanospirillales.Nitrincolaceae.Balneatrix","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Balneatrix",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Nitrosococcales.Nitrosococcaceae.wb1-P19","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","wb1-P19",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Microbacteriaceae.Diaminobutyricibacter","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Diaminobutyricibacter",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Frankiales.Cryptosporangiaceae.Fodinicola","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Cryptosporangiaceae","Fodinicola",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Sphingobacteriales.FFCH9454.NA","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","FFCH9454","NA",NA,NA
"Bacteria.Firmicutes.Desulfotomaculia.Ammonifexales.NA.NA","Bacteria","Firmicutes","Desulfotomaculia","Ammonifexales","NA","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Ectothiorhodospirales.Ectothiorhodospiraceae.Thiorhodospira","Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae","Thiorhodospira",NA,NA
"Bacteria.Verrucomicrobiota.Chlamydiae.Chlamydiales.Criblamydiaceae.Estrella","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Criblamydiaceae","Estrella",NA,NA
"Bacteria.Planctomycetota.Phycisphaerae.Phycisphaerales.NA.NA","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","NA","NA",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.WN-HWB-116.NA.NA","Bacteria","Proteobacteria","Gammaproteobacteria","WN-HWB-116","NA","NA",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.Leptolyngbyales.Leptolyngbyaceae.Chamaesiphon PCC-7430","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Chamaesiphon PCC-7430",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micromonosporales.Micromonosporaceae.Allocatelliglobosispora","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Allocatelliglobosispora",NA,NA
"Bacteria.Chloroflexi.Anaerolineae.Anaerolineales.Anaerolineaceae.Thermanaerothrix","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Thermanaerothrix",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Methylococcales.Methylomonadaceae.pItb-vmat-59","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","pItb-vmat-59",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Gallionellaceae.Ferriphaselus","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Ferriphaselus",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.Phormidesmiales.Nodosilineaceae.Leptolyngbya PCC-6406","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Nodosilineaceae","Leptolyngbya PCC-6406",NA,NA
"Bacteria.Firmicutes.Bacilli.Bacillales.Sporolactobacillaceae.Scopulibacillus","Bacteria","Firmicutes","Bacilli","Bacillales","Sporolactobacillaceae","Scopulibacillus",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Oceanospirillales.Halomonadaceae.Candidatus Portiera","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Candidatus Portiera",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Oceanospirillales.Nitrincolaceae.Neptunomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Shewanellaceae.Psychrobium","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Psychrobium",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae.Beijerinckia","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Beijerinckia",NA,NA
"Archaea.Crenarchaeota.Thermoprotei.Thermoproteales.Thermoproteaceae.Pyrobaculum","Archaea","Crenarchaeota","Thermoprotei","Thermoproteales","Thermoproteaceae","Pyrobaculum",NA,NA
"Bacteria.Firmicutes.Bacilli.Acholeplasmatales.Acholeplasmataceae.EMP-G18","Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae","EMP-G18",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Oceanobacterium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Oceanobacterium",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.Cyanobacteriales.Microcystaceae.Pleurocapsa PCC-7327","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Pleurocapsa PCC-7327",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Marinilabiliaceae.Labilibacter","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Labilibacter",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.Succinimonas","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinimonas",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.SS1-B-04-55.NA.NA","Bacteria","Proteobacteria","Gammaproteobacteria","SS1-B-04-55","NA","NA",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Lacimonas","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Lacimonas",NA,NA
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Lentibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Lentibacter",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Rhodocyclaceae.Quatrionicoccus","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Quatrionicoccus",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Chitinophagales.Chitinophagaceae.Hydrobacter","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Hydrobacter",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Alcaligenaceae.Derxia","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Derxia",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Microbacteriaceae.Microterricola","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microterricola",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.Cyanobacteriales.Coleofasciculaceae.Symplocastrum CPER-KK1","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Coleofasciculaceae","Symplocastrum CPER-KK1",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Streptosporangiales.Streptosporangiaceae.Thermopolyspora","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Thermopolyspora",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Micrococcales.Ruaniaceae.Haloactinobacterium","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Ruaniaceae","Haloactinobacterium",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.Leptolyngbyales.Leptolyngbyaceae.Phormidesmis ANT.L52.6","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Phormidesmis ANT","L52","6"
"Bacteria.Proteobacteria.Alphaproteobacteria.Parvibaculales.Parvibaculaceae.Pyruvatibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","Parvibaculaceae","Pyruvatibacter",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Pseudonocardiales.Pseudonocardiaceae.Herbihabitans","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Herbihabitans",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Leeiaceae.Leeia","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Leeiaceae","Leeia",NA,NA
"Bacteria.Actinobacteriota.Actinobacteria.Propionibacteriales.Propionibacteriaceae.Granulicoccus","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Granulicoccus",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Crocinitomicaceae.Wandonia","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Wandonia",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Flavobacteriaceae.Pricia","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Pricia",NA,NA
"Archaea.Halobacterota.Halobacteria.Halobacterales.Haloferacaceae.Salinarchaeum","Archaea","Halobacterota","Halobacteria","Halobacterales","Haloferacaceae","Salinarchaeum",NA,NA
"Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Flavobacteriaceae.Coenonia","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Coenonia",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Budviciaceae.NA","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Budviciaceae","NA",NA,NA
"Bacteria.Cyanobacteria.Cyanobacteriia.Cyanobacteriales.Nostocaceae.Stigonema SAG 48.90","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Stigonema SAG 48","90",NA
"Bacteria.Actinobacteriota.Actinobacteria.Corynebacteriales.Nocardiaceae.Smaragdicoccus","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Smaragdicoccus",NA,NA
"Bacteria.Proteobacteria.Gammaproteobacteria.Salinisphaerales.Algiphilaceae.Algiphilus","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Algiphilaceae","Algiphilus",NA,NA
